Wind代码,交易日期,货币代码,昨收盘价(点),开盘点位,最高点位,最低点位,收盘价,涨跌,涨跌幅(%),成交量(万股),成交金额(千元),unnamed_12,unnamed_13
399006.SZ,20110106,1,1155.35,1153.63,1159.4,1134.09,1134.79,-20.56,-1.7793,15591.29,6869232.7252,33361,20110106180000000
399006.SZ,20110107,1,1134.79,1132.73,1139.78,1119.61,1126.52,-8.28,-0.7292,19740.3,9548236.0245,33361,20110107180000000
399006.SZ,20110110,1,1126.52,1124.34,1124.34,1089.06,1093.77,-32.75,-2.9074,15918.18,7219412.4081,33361,20110110180000000
399006.SZ,20110111,1,1093.77,1089.99,1089.99,1068.4,1078.36,-15.4,-1.408,13764.31,5853695.8531,33361,20110111180000000
399006.SZ,20110112,1,1078.36,1083.12,1095.52,1071.09,1089.67,11.31,1.0486,12344.7,5239285.8285,33361,20110112180000000
399006.SZ,20110113,1,1089.67,1094.83,1097.1,1089.67,1093.86,4.18,0.3839,17769.71,7317823.7817,33361,20110113180000000
399006.SZ,20110114,1,1093.86,1092.09,1092.09,1065.75,1067.42,-26.44,-2.417,15343.7,6235601.6206,33361,20110114180000000
399006.SZ,20110117,1,1067.42,1066.44,1066.99,1025.66,1028.16,-39.26,-3.6778,17010.14,6922490.2121,33361,20110117180000000
399006.SZ,20110118,1,1028.16,1021.84,1029.86,1014.63,1025.72,-2.44,-0.2378,10180.64,4027368.9748,33361,20110118180000000
399006.SZ,20110119,1,1025.72,1025.93,1048.6,1023.15,1048.54,22.82,2.2247,11783.39,4748988.7359,33361,20110119180000000
399006.SZ,20110120,1,1048.54,1047.77,1051.52,1020.29,1020.39,-28.15,-2.6843,14422.81,5770514.5707,33361,20110120180000000
399006.SZ,20110121,1,1020.39,1014.72,1033.52,1013.27,1024.51,4.12,0.4034,12543.21,5075484.8081,33361,20110121180000000
399006.SZ,20110124,1,1024.51,1024.79,1029.33,994.26,994.97,-29.54,-2.8831,13157.43,5500295.9179,33361,20110124180000000
399006.SZ,20110125,1,994.97,992.57,992.57,968.32,979.0,-15.97,-1.605,14210.63,5456790.5003,33361,20110125180000000
399006.SZ,20110126,1,979.0,978.07,995.78,977.85,995.74,16.75,1.7105,11610.2,4471075.7827,33361,20110126180000000
399006.SZ,20110127,1,995.74,991.06,1015.05,984.79,1013.02,17.28,1.7354,11861.27,4478251.0454,33361,20110127180000000
399006.SZ,20110128,1,1013.02,1013.64,1023.63,1011.3,1020.94,7.91,0.7812,9985.36,3845952.0939,33361,20110128180000000
399006.SZ,20110131,1,1020.94,1021.63,1030.18,1014.4,1029.12,8.18,0.8014,12115.59,4843983.0303,33361,20110131180000000
399006.SZ,20110201,1,1029.12,1029.67,1034.14,1026.9,1032.6,3.48,0.3385,14477.15,5627794.4314,33361,20110201180000000
399006.SZ,20110209,1,1032.6,1026.45,1037.84,1021.79,1025.15,-7.45,-0.7217,12871.75,4788958.7105,33361,20110209180000000
399006.SZ,20110210,1,1025.15,1026.25,1063.95,1024.71,1063.95,38.79,3.7842,18339.71,6739881.5463,33361,20110210180000000
